Date,Symbol,Long Carry,Short Carry
01-12-2019,AUDUSD,-2.12%,-0.08%
01-11-2019,AUDUSD,-2.11%,-0.10%
01-10-2019,AUDUSD,-2.15%,-0.10%
01-09-2019,AUDUSD,-2.23%,-0.12%
01-08-2019,AUDUSD,-2.23%,-0.12%
01-07-2019,AUDUSD,-1.99%,-0.49%
01-06-2019,AUDUSD,-1.95%,-0.48%
01-05-2019,AUDUSD,-1.69%,-0.42%
01-04-2019,AUDUSD,-1.79%,-0.44%
01-03-2019,AUDUSD,-1.83%,-0.45%
01-02-2019,AUDUSD,-1.42%,-0.51%
01-01-2019,AUDUSD,-1.39%,-0.50%
01-12-2018,AUDUSD,-1.35%,-0.54%
01-11-2018,AUDUSD,-1.25%,-0.64%
01-10-2018,AUDUSD,-1.00%,-0.87%
01-09-2018,AUDUSD,-0.95%,-0.75%
01-08-2018,AUDUSD,-0.96%,-0.74%
01-07-2018,AUDUSD,-0.65%,-0.87%
01-06-2018,AUDUSD,-0.80%,-0.72%
01-05-2018,AUDUSD,-0.65%,-0.84%
01-04-2018,AUDUSD,-0.38%,-1.20%
01-03-2018,AUDUSD,-0.54%,-1.12%
01-02-2018,AUDUSD,-0.47%,-1.20%
01-01-2018,AUDUSD,-0.59%,-1.17%
01-12-2017,AUDUSD,-0.34%,-1.38%
01-11-2017,AUDUSD,-0.13%,-1.74%
01-10-2017,AUDUSD,-0.09%,-1.75%
01-09-2017,AUDUSD,-0.14%,-1.71%
01-08-2017,AUDUSD,-0.01%,-1.82%
01-07-2017,AUDUSD,0.09%,-2.13%
01-06-2017,AUDUSD,0.27%,-2.15%
01-05-2017,AUDUSD,0.32%,-2.22%
01-04-2017,AUDUSD,0.34%,-2.10%
01-03-2017,AUDUSD,0.66%,-2.38%
01-02-2017,AUDUSD,0.78%,-2.50%
01-01-2017,AUDUSD,0.65%,-2.42%
